"5 U.S.C. 5901–5902","usc/5/5901..5902"
"5 U.S.C. 5901–5902","usc/5/5901..5902"
"42 U.S.C. 8101–8107","usc/42/8101..8107"
"41 U.S.C. 10a–10c","usc/41/10a..10c"
"41 U.S.C. 10a–10c","usc/41/10a..10c"
"2009 through 2009m","usc/7/2009..2009m"
"7 U.S.C. 950aaa-2(d)","usc/7/950aaa-2/d"
"7 U.S.C. 1922–1936a","usc/7/1922..1936a"
"2009 through 2009m","usc/7/2009..2009m"
"7 U.S.C. 950aaa-2(d)","usc/7/950aaa-2/d"
"2000e–5","usc/42/2000e-5"
"2000e–6","usc/42/2000e-6"
"2000e–7","usc/42/2000e-7"
"2000e–8","usc/42/2000e-8"
"2000e–9","usc/42/2000e-9"
"2000e–11","usc/42/2000e-11"
"sections 1592 through 1596","usc/18/1592..1596"
"paragraphs (1) through (3) of section 2252(a) of title 18, United States Code","usc/18/2252/a/1..3"
"paragraphs (1) through (6) of section 2252A(a) of title 18, United States Code","usc/18/2252A/a/1..6"
"paragraphs (3) through (6)","usc/18/3624/c/3..6"
"paragraphs (4) through (7)","usc/18/3624/c/4..7"
"subsections (b) through (e)","usc/5/609/b..e"
"subsections(a) through (c)","usc/5/610/a..c"
"paragraphs (1) through (5)","usc/51/20118/b/1..5"
"subparagraphs (A) through (E)","usc/39/3622/d/1/A..E"
"subparagraphs (B) through (F)","usc/39/3622/d/1/B..F"
"subsections (d) through (h)","usc/39/2003/d..h"
"subsections (e) through (i)","usc/39/2003/e..i"
"clauses (v) through (x)","usc/5/8909a/d/3/A/v..x"
"paragraphs (1)through (6)","usc/39/404/d/1..6"
"sections 3551 through 3557 of title 31, United States Code","usc/31/3551..3557"
"subparagraphs (B) through (E)","usc/39/3622/d/1/B..E"
"subparagraphs (D) through (G)","usc/39/3622/d/1/D..G"
"subsections (b) through (d)","usc/39/2401/b..d"
"clauses (v) through (x)","usc/5/8909a/d/3/A/v..x"
"12 U.S.C. 4561–6","usc/12/4561..4561"
