bioguide_id,name,wikipedia_link
S001145,"Rep. Janice D. Schakowsky (D, IL-9)",http://en.wikipedia.org/wiki/Jan_Schakowsky
S001150,"Rep. Adam B. Schiff (D, CA-28)",http://en.wikipedia.org/wiki/Adam_Schiff
S001157,"Rep. David Scott (D, GA-13)",http://en.wikipedia.org/wiki/David_Scott_(Georgia_politician)
S000185,"Rep. Robert C. ""Bobby"" Scott (D, VA-3)",http://en.wikipedia.org/wiki/Bobby_Scott_(U.S._politician)
S000244,"Rep. F. James Sensenbrenner Jr. (R, WI-5)",http://en.wikipedia.org/wiki/Jim_Sensenbrenner
S000248,"Rep. JosÃ© E. Serrano (D, NY-15)",http://en.wikipedia.org/wiki/Jos%C3%A9_Serrano_(politician)
S000250,"Rep. Pete Sessions (R, TX-32)",http://en.wikipedia.org/wiki/Pete_Sessions
S000344,"Rep. Brad Sherman (D, CA-30)",http://en.wikipedia.org/wiki/Brad_Sherman
S000364,"Rep. John Shimkus (R, IL-15)",http://en.wikipedia.org/wiki/John_Shimkus
S001148,"Rep. Michael K. Simpson (R, ID-2)",http://en.wikipedia.org/wiki/Mike_Simpson
S000480,"Rep. Louise McIntosh Slaughter (D, NY-25)",http://en.wikipedia.org/wiki/Louise_Slaughter
S000522,"Rep. Christopher H. Smith (R, NJ-4)",http://en.wikipedia.org/wiki/Chris_Smith_(New_Jersey_politician)
S000583,"Rep. Lamar Smith (R, TX-21)",http://en.wikipedia.org/wiki/Lamar_S._Smith
S000510,"Rep. Adam Smith (D, WA-9)",http://en.wikipedia.org/wiki/Adam_Smith_(politician)
T000459,"Rep. Lee Terry (R, NE-2)",http://en.wikipedia.org/wiki/Lee_Terry
T000460,"Rep. Mike Thompson (D, CA-5)",http://en.wikipedia.org/wiki/Mike_Thompson_(California_politician)
T000193,"Rep. Bennie G. Thompson (D, MS-2)",http://en.wikipedia.org/wiki/Bennie_Thompson
T000238,"Rep. Mac Thornberry (R, TX-13)",http://en.wikipedia.org/wiki/Mac_Thornberry
T000462,"Rep. Patrick J. Tiberi (R, OH-12)",http://en.wikipedia.org/wiki/Pat_Tiberi
T000266,"Rep. John F. Tierney (D, MA-6)",http://en.wikipedia.org/wiki/John_F._Tierney
T000461,"Sen. Patrick J. Toomey (R, PA)",http://en.wikipedia.org/wiki/Pat_Toomey
T000463,"Rep. Michael R. Turner (R, OH-10)",http://en.wikipedia.org/wiki/Mike_Turner
U000038,"Sen. Mark Udall (D, CO)",http://en.wikipedia.org/wiki/Mark_Udall
U000039,"Sen. Tom Udall (D, NM)",http://en.wikipedia.org/wiki/Tom_Udall
U000031,"Rep. Fred Upton (R, MI-6)",http://en.wikipedia.org/wiki/Fred_Upton
V000128,"Rep. Chris Van Hollen (D, MD-8)",http://en.wikipedia.org/wiki/Chris_Van_Hollen
V000081,"Rep. Nydia M. VelÃ¡zquez (D, NY-7)",http://en.wikipedia.org/wiki/Nydia_Vel%C3%A1zquez
V000108,"Rep. Peter J. Visclosky (D, IN-1)",http://en.wikipedia.org/wiki/Pete_Visclosky
V000127,"Sen. David Vitter (R, LA)",http://en.wikipedia.org/wiki/David_Vitter
W000791,"Rep. Greg Walden (R, OR-2)",http://en.wikipedia.org/wiki/Greg_Walden
W000187,"Rep. Maxine Waters (D, CA-43)",http://en.wikipedia.org/wiki/Maxine_Waters
W000207,"Rep. Melvin L. Watt (D, NC-12)",http://en.wikipedia.org/wiki/Mel_Watt
W000215,"Rep. Henry A. Waxman (D, CA-33)",http://en.wikipedia.org/wiki/Henry_Waxman
W000413,"Rep. Ed Whitfield (R, KY-1)",http://en.wikipedia.org/wiki/Ed_Whitfield
W000437,"Sen. Roger F. Wicker (R, MS)",http://en.wikipedia.org/wiki/Roger_Wicker
W000795,"Rep. Joe Wilson (R, SC-2)",http://en.wikipedia.org/wiki/Joe_Wilson_(U.S._politician)
W000672,"Rep. Frank R. Wolf (R, VA-10)",http://en.wikipedia.org/wiki/Frank_Wolf
Y000031,"Rep. C. W. Bill Young (R, FL-13)",http://en.wikipedia.org/wiki/Bill_Young
Y000033,"Rep. Don Young (R, AK-0)",http://en.wikipedia.org/wiki/Don_Young
N000182,"Rep. Randy Neugebauer (R, TX-19)",http://en.wikipedia.org/wiki/Randy_Neugebauer
A000360,"Sen. Lamar Alexander (R, TN)",http://en.wikipedia.org/wiki/Lamar_Alexander
B000243,"Sen. Max Baucus (D, MT)",http://en.wikipedia.org/wiki/Max_Baucus
B000711,"Sen. Barbara Boxer (D, CA)",http://en.wikipedia.org/wiki/Barbara_Boxer
C000127,"Sen. Maria Cantwell (D, WA)",http://en.wikipedia.org/wiki/Maria_Cantwell
C000174,"Sen. Thomas R. Carper (D, DE)",http://en.wikipedia.org/wiki/Tom_Carper
C000286,"Sen. Saxby Chambliss (R, GA)",http://en.wikipedia.org/wiki/Saxby_Chambliss
C000567,"Sen. Thad Cochran (R, MS)",http://en.wikipedia.org/wiki/Thad_Cochran
C001035,"Sen. Susan M. Collins (R, ME)",http://en.wikipedia.org/wiki/Susan_Collins
C001056,"Sen. John Cornyn (R, TX)",http://en.wikipedia.org/wiki/John_Cornyn
C000880,"Sen. Mike Crapo (R, ID)",http://en.wikipedia.org/wiki/Mike_Crapo
D000563,"Sen. Richard J. Durbin (D, IL)",http://en.wikipedia.org/wiki/Dick_Durbin
E000285,"Sen. Michael B. Enzi (R, WY)",http://en.wikipedia.org/wiki/Mike_Enzi
F000062,"Sen. Dianne Feinstein (D, CA)",http://en.wikipedia.org/wiki/Dianne_Feinstein
G000359,"Sen. Lindsey Graham (R, SC)",http://en.wikipedia.org/wiki/Lindsey_Graham
G000386,"Sen. Chuck Grassley (R, IA)",http://en.wikipedia.org/wiki/Chuck_Grassley
H000206,"Sen. Tom Harkin (D, IA)",http://en.wikipedia.org/wiki/Tom_Harkin
H000338,"Sen. Orrin G. Hatch (R, UT)",http://en.wikipedia.org/wiki/Orrin_Hatch
I000024,"Sen. James M. Inhofe (R, OK)",http://en.wikipedia.org/wiki/Jim_Inhofe
J000177,"Sen. Tim Johnson (D, SD)",http://en.wikipedia.org/wiki/Tim_Johnson_(U.S._Senator)
K000148,"Sen. John F. Kerry (D, MA)",http://en.wikipedia.org/wiki/John_Kerry
L000550,"Sen. Mary L. Landrieu (D, LA)",http://en.wikipedia.org/wiki/Mary_Landrieu
L000123,"Sen. Frank R. Lautenberg (D, NJ)",http://en.wikipedia.org/wiki/Frank_Lautenberg
L000174,"Sen. Patrick J. Leahy (D, VT)",http://en.wikipedia.org/wiki/Patrick_Leahy
L000261,"Sen. Carl Levin (D, MI)",http://en.wikipedia.org/wiki/Carl_Levin
M000303,"Sen. John McCain (R, AZ)",http://en.wikipedia.org/wiki/John_McCain
M000355,"Sen. Mitch McConnell (R, KY)",http://en.wikipedia.org/wiki/Mitch_McConnell
M000702,"Sen. Barbara A. Mikulski (D, MD)",http://en.wikipedia.org/wiki/Barbara_Mikulski
M001153,"Sen. Lisa Murkowski (R, AK)",http://en.wikipedia.org/wiki/Lisa_Murkowski
M001111,"Sen. Patty Murray (D, WA)",http://en.wikipedia.org/wiki/Patty_Murray
N000032,"Sen. Bill Nelson (D, FL)",http://en.wikipedia.org/wiki/Bill_Nelson
P000590,"Sen. Mark L. Pryor (D, AR)",http://en.wikipedia.org/wiki/Mark_Pryor
R000122,"Sen. Jack Reed (D, RI)",http://en.wikipedia.org/wiki/Jack_Reed_(politician)
R000146,"Sen. Harry Reid (D, NV)",http://en.wikipedia.org/wiki/Harry_Reid
R000307,"Sen. Pat Roberts (R, KS)",http://en.wikipedia.org/wiki/Pat_Roberts
R000361,"Sen. John D. Rockefeller, IV (D, WV)",http://en.wikipedia.org/wiki/Jay_Rockefeller
S000148,"Sen. Charles E. Schumer (D, NY)",http://en.wikipedia.org/wiki/Chuck_Schumer
S001141,"Sen. Jeff Sessions (R, AL)",http://en.wikipedia.org/wiki/Jeff_Sessions
S000320,"Sen. Richard C. Shelby (R, AL)",http://en.wikipedia.org/wiki/Richard_Shelby
S000770,"Sen. Debbie Stabenow (D, MI)",http://en.wikipedia.org/wiki/Debbie_Stabenow
W000779,"Sen. Ron Wyden (D, OR)",http://en.wikipedia.org/wiki/Ron_Wyden
T000250,"Sen. John Thune (R, SD)",http://en.wikipedia.org/wiki/John_Thune
C000560,"Sen. Tom Coburn (R, OK)",http://en.wikipedia.org/wiki/Tom_Coburn
S000018,"Rep. Matt Salmon (R, AZ-5)",http://en.wikipedia.org/wiki/Matt_Salmon
B001251,"Rep. G. K. Butterfield (D, NC-1)",http://en.wikipedia.org/wiki/G._K._Butterfield
C001059,"Rep. Jim Costa (D, CA-16)",http://en.wikipedia.org/wiki/Jim_Costa
W000797,"Rep. Debbie Wasserman Schultz (D, FL-23)",http://en.wikipedia.org/wiki/Debbie_Wasserman_Schultz
P000591,"Rep. Tom Price (R, GA-6)",http://en.wikipedia.org/wiki/Tom_Price_(U.S._politician)
W000796,"Rep. Lynn A. Westmoreland (R, GA-3)",http://en.wikipedia.org/wiki/Lynn_Westmoreland
B001252,"Rep. John Barrow (D, GA-12)",http://en.wikipedia.org/wiki/John_Barrow_(U.S._politician)
O000167,Pres. Barack Obama,http://en.wikipedia.org/wiki/Barack_Obama
L000563,"Rep. Daniel Lipinski (D, IL-3)",http://en.wikipedia.org/wiki/Dan_Lipinski
B001255,"Rep. Charles W. Boustany Jr. (R, LA-3)",http://en.wikipedia.org/wiki/Charles_Boustany
C001061,"Rep. Emanuel Cleaver (D, MO-5)",http://en.wikipedia.org/wiki/Emanuel_Cleaver
F000449,"Rep. Jeff Fortenberry (R, NE-1)",http://en.wikipedia.org/wiki/Jeff_Fortenberry
H001038,"Rep. Brian Higgins (D, NY-26)",http://en.wikipedia.org/wiki/Brian_Higgins
F000450,"Rep. Virginia Foxx (R, NC-5)",http://en.wikipedia.org/wiki/Virginia_Foxx
M001156,"Rep. Patrick T. McHenry (R, NC-10)",http://en.wikipedia.org/wiki/Patrick_McHenry
F000451,"Rep. Michael G. Fitzpatrick (R, PA-8)",http://en.wikipedia.org/wiki/Mike_Fitzpatrick
S001162,"Rep. Allyson Y. Schwartz (D, PA-13)",http://en.wikipedia.org/wiki/Allyson_Schwartz
D000604,"Rep. Charles W. Dent (R, PA-15)",http://en.wikipedia.org/wiki/Charlie_Dent
G000552,"Rep. Louie Gohmert (R, TX-1)",http://en.wikipedia.org/wiki/Louie_Gohmert
P000592,"Rep. Ted Poe (R, TX-2)",http://en.wikipedia.org/wiki/Ted_Poe
G000553,"Rep. Al Green (D, TX-9)",http://en.wikipedia.org/wiki/Al_Green_(politician)
M001157,"Rep. Michael T. McCaul (R, TX-10)",http://en.wikipedia.org/wiki/Michael_McCaul
C001062,"Rep. K. Michael Conaway (R, TX-11)",http://en.wikipedia.org/wiki/Mike_Conaway
M001158,"Rep. Kenny Marchant (R, TX-24)",http://en.wikipedia.org/wiki/Kenny_Marchant
C001063,"Rep. Henry Cuellar (D, TX-28)",http://en.wikipedia.org/wiki/Henry_Cuellar
M001159,"Rep. Cathy McMorris Rodgers (R, WA-5)",http://en.wikipedia.org/wiki/Cathy_McMorris_Rodgers
