com_code,com_name,wikipedia_link
HAS03,Readiness Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Armed_Services_Subcommittee_on_Readiness
HAS06,Oversight and Investigations Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Financial_Services_Subcommittee_on_Oversight_and_Investigations
HAS25,Tactical Air and Land Forces Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Armed_Services_Subcommittee_on_Tactical_Air_and_Land_Forces
HAS26,Emerging Threats and Capabilities Subcommittee,"http://en.wikipedia.org/wiki/United_States_House_Armed_Services_Subcommittee_on_Intelligence,_Emerging_Threats_and_Capabilities"
HAS28,Seapower and Projection Forces Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Armed_Services_Subcommittee_on_Seapower_and_Projection_Forces
HAS29,Strategic Forces Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Armed_Services_Subcommittee_on_Strategic_Forces
HBA00,Committee on Financial Services,http://en.wikipedia.org/wiki/United_States_House_Committee_on_Financial_Services
HBA04,"Insurance, Housing and Community Opportunity Subcommittee",http://en.wikipedia.org/wiki/United_States_House_Financial_Services_Subcommittee_on_Housing_and_Insurance
HBA09,Oversight and Investigations Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Financial_Services_Subcommittee_on_Oversight_and_Investigations
HBA15,Financial Institutions and Consumer Credit Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Financial_Services_Subcommittee_on_Financial_Institutions_and_Consumer_Credit
HBA16,Capital Markets and Government Sponsored Enterprises,http://en.wikipedia.org/wiki/United_States_House_Financial_Services_Subcommittee_on_Capital_Markets_and_Government-Sponsored_Enterprises
HBA19,Domestic Monetary Policy and Technology Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Financial_Services_Subcommittee_on_Domestic_Monetary_Policy_and_Technology
HBA20,International Monetary Policy and Trade Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Financial_Services_Subcommittee_on_Monetary_Policy_and_Trade
HBU00,Committee on the Budget,http://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Budget
HED00,Committee on Education and the Workforce,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Education_and_the_Workforce
HED02,"Health, Employment, Labor, and Pensions Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Education_Subcommittee_on_Health,_Employment,_Labor,_and_Pensions"
HED10,Workforce Protections Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Education_Subcommittee_on_Workforce_Protections
HED13,Higher Education and Workforce Training Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Education_Subcommittee_on_Higher_Education_and_Workforce_Training
HED14,"Early Childhood, Elementary, and Secondary Education Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Education_Subcommittee_on_Early_Childhood,_Elementary_and_Secondary_Education"
HFA00,Committee on Foreign Affairs,http://en.wikipedia.org/wiki/United_States_House_Committee_on_Foreign_Affairs
HFA05,Asia and the Pacific Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Foreign_Affairs_Subcommittee_on_Asia_and_the_Pacific
HFA07,The Western Hemisphere Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Foreign_Affairs_Subcommittee_on_the_Western_Hemisphere
HFA13,The Middle East and South Asia Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Foreign_Affairs_Subcommittee_on_the_Middle_East_and_North_Africa
HFA14,Europe and Eurasia Subcommittee,"http://en.wikipedia.org/wiki/United_States_House_Foreign_Affairs_Subcommittee_on_Europe,_Eurasia_and_Emerging_Threats"
HFA16,"Africa, Global Health, and Human Rights Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Foreign_Affairs_Subcommittee_on_Africa,_Global_Health,_Global_Human_Rights_and_International_Organizations"
HFA17,Oversight and Investigations Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Armed_Services_Subcommittee_on_Oversight_and_Investigations
HFA18,"Terrorism, Nonproliferation, and Trade Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Foreign_Affairs_Subcommittee_on_Terrorism,_Nonproliferation,_and_Trade"
HGO00,Committee on Oversight and Government Reform,http://en.wikipedia.org/wiki/United_States_House_Committee_on_Oversight_and_Government_Reform
HGO06,"National Security, Homeland Defense and Foreign Operations Subcommittee",http://en.wikipedia.org/wiki/United_States_House_Oversight_Subcommittee_on_National_Security
HGO24,"Government Organization, Efficiency and Financial Management Subcommittee",http://en.wikipedia.org/wiki/United_States_House_Oversight_Subcommittee_on_Government_Organization%2C_Efficiency_and_Financial_Management
HGO25,"Federal Workforce, U.S. Postal Service and Labor Policy Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Oversight_Subcommittee_on_Federal_Workforce,_U.S._Postal_Service_and_the_Census"
HGO27,"Health Care, District of Columbia, Census and the National Archives Subcommittee",http://en.wikipedia.org/wiki/United_States_House_Oversight_Subcommittee_on_Health_Care%2C_District_of_Columbia%2C_Census_and_the_National_Archives
HGO28,"Regulatory Affairs, Stimulus Oversight and Government Spending Subcommittee",http://en.wikipedia.org/wiki/United_States_House_Oversight_Subcommittee_on_Regulatory_Affairs%2C_Stimulus_Oversight_and_Government_Spending
HGO29,"TARP, Financial Services and Bailouts of Public and Private Programs Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Oversight_Subcommittee_on_TARP,_Financial_Services_and_Bailouts_of_Public_and_Private_Programs"
HGO30,"Technology, Information Policy, Intergovernmental Relations and Procurement Reform Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Oversight_Subcommittee_on_Technology,_Information_Policy,_Intergovernmental_Relations_and_Procurement_Reform"
HHA00,Committee on House Administration,http://en.wikipedia.org/wiki/United_States_House_Committee_on_House_Administration
HHA06,Oversight Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Administration_Subcommittee_on_Oversight
HHA08,Elections Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Administration_Subcommittee_on_Elections
HHM00,Committee on Homeland Security,http://en.wikipedia.org/wiki/United_States_House_Committee_on_Homeland_Security
HHM05,Counterterrorism and Intelligence Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Homeland_Security_Subcommittee_on_Counterterrorism_and_Intelligence
HHM07,Transportation Security Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Homeland_Security_Subcommittee_on_Transportation_Security
HHM08,"Cybersecurity, Infrastructure Protection, and Security Technologies Subcommittee","https://en.wikipedia.org/wiki/United_States_House_Homeland_Security_Subcommittee_on_Cybersecurity,_Infrastructure_Protection,_and_Security_Technologies"
HHM09,"Oversight, Investigations, and Management Subcommittee",http://en.wikipedia.org/wiki/United_States_House_Homeland_Security_Subcommittee_on_Oversight_and_Management_Efficiency
HHM11,Border and Maritime Security Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Homeland_Security_Subcommittee_on_Border_and_Maritime_Security
HHM12,"Emergency Preparedness, Response and Communications Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Homeland_Security_Subcommittee_on_Emergency_Preparedness,_Response,_and_Communications"
HIF00,Committee on Energy and Commerce,http://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce
HIF02,Oversight and Investigations Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Energy_Subcommittee_on_Oversight_and_Investigations
HIF03,Energy and Power Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Energy_Subcommittee_on_Energy_and_Power
HIF14,Health Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Energy_Subcommittee_on_Health
HIF16,Communications and Technology Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Energy_Subcommittee_on_Communications_and_Technology
HIF17,"Commerce, Manufacturing, and Trade Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Energy_Subcommittee_on_Commerce,_Manufacturing_and_Trade"
HIF18,Environment and the Economy Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Energy_Subcommittee_on_Environment_and_Economy
